身份证号码,出生日期,性别,年龄,出生地
130802194907230757,1949/7/23,男,75,河北省 承德市 双桥区
130526200312311315,2003/12/31,男,20,河北省 邢台市 任县
130826195706100257,1957/6/10,男,67,河北省 承德市 丰宁满族自治县
130925195212270554,1952/12/27,男,71,河北省 沧州市 盐山县
130534199611135336,1996/11/13,男,28,河北省 邢台市 清河县
130684196004221879,1960/4/22,男,64,河北省 保定市 高碑店市
130502198803197878,1988/3/19,男,36,河北省 邢台市 桥东区
130626201002279890,2010/2/27,男,14,河北省 保定市 定兴县
130481198207129879,1982/7/12,男,42,河北省 邯郸市 武安市
131025197211254553,1972/11/25,男,52,河北省 廊坊市 大城县
130930199002268834,1990/2/26,男,34,河北省 沧州市 孟村回族自治县
130283198001093577,1980/1/9,男,44,河北省 唐山市 迁安市
130105198002264759,1980/2/26,男,44,河北省 石家庄市 新华区
13070520050603735X,2005/6/3,男,19,河北省 张家口市 宣化区
130627201112220378,2011/12/22,男,12,河北省 保定市 唐县
13092519550421751X,1955/4/21,男,69,河北省 沧州市 盐山县
13088119760718935X,1976/7/18,男,48,河北省 承德市 平泉市
131103202308263537,2023/8/26,男,1,河北省 衡水市 冀州区
130705200006212174,2000/6/21,男,24,河北省 张家口市 宣化区
130628198108289737,1981/8/28,男,43,河北省 保定市 高阳县
130111196203137391,1962/3/13,男,62,河北省 石家庄市 栾城区
130636195309079679,1953/9/7,男,71,河北省 保定市 顺平县
130532198504131295,1985/4/13,男,39,河北省 邢台市 平乡县
130624196803297451,1968/3/29,男,56,河北省 保定市 阜平县
130108195603025134,1956/3/2,男,68,河北省 石家庄市 裕华区
130824197408016096,1974/8/1,男,50,河北省 承德市 滦平县
13112519770805427X,1977/8/5,男,47,河北省 衡水市 安平县
13042619820707501X,1982/7/7,男,42,河北省 邯郸市 涉县
130503196209275439,1962/9/27,男,62,河北省 邢台市 桥西区
130631196112023631,1961/12/2,男,63,河北省 保定市 望都县
130727198207197458,1982/7/19,男,42,河北省 张家口市 阳原县
130426195007153817,1950/7/15,男,74,河北省 邯郸市 涉县
130433198409125437,1984/9/12,男,40,河北省 邯郸市 馆陶县
130203198206128778,1982/6/12,男,42,河北省 唐山市 路北区
130127202202260071,2022/2/26,男,2,河北省 石家庄市 高邑县
131122198704085891,1987/4/8,男,37,河北省 衡水市 武邑县
13073220001021127X,2000/10/21,男,24,河北省 张家口市 赤城县
130631198302030719,1983/2/3,男,41,河北省 保定市 望都县
130324196803182156,1968/3/18,男,56,河北省 秦皇岛市 卢龙县
130427197605255851,1976/5/25,男,48,河北省 邯郸市 磁县
130703198206271555,1982/6/27,男,42,河北省 张家口市 桥西区
130111200608293076,2006/8/29,男,18,河北省 石家庄市 栾城区
130724201303123913,2013/3/12,男,11,河北省 张家口市 沽源县
130425200605028837,2006/5/2,男,18,河北省 邯郸市 大名县
131124198703262393,1987/3/26,男,37,河北省 衡水市 饶阳县
130684198708184016,1987/8/18,男,37,河北省 保定市 高碑店市
130306201302018359,2013/2/1,男,11,河北省 秦皇岛市 抚宁区
130481194701169050,1947/1/16,男,77,河北省 邯郸市 武安市
130527194512224898,1945/12/22,男,78,河北省 邢台市 南和县
130430201803084691,2018/3/8,男,6,河北省 邯郸市 邱县
130726196205144656,1962/5/14,男,62,河北省 张家口市 蔚县
130125195406210791,1954/6/21,男,70,河北省 石家庄市 行唐县
13072319820108457X,1982/1/8,男,42,河北省 张家口市 康保县
130902195411036651,1954/11/3,男,70,河北省 沧州市 新华区
130503199401281410,1994/1/28,男,30,河北省 邢台市 桥西区
130281201512040356,2015/12/4,男,9,河北省 唐山市 遵化市
130930199010270731,1990/10/27,男,34,河北省 沧州市 孟村回族自治县
130732201210047771,2012/10/4,男,12,河北省 张家口市 赤城县
130207197504181535,1975/4/18,男,49,河北省 唐山市 丰南区
130522195110160978,1951/10/16,男,73,河北省 邢台市 临城县
131023201901200575,2019/1/20,男,5,河北省 廊坊市 永清县
13098319510808339X,1951/8/8,男,73,河北省 沧州市 黄骅市
130109201109191318,2011/9/19,男,13,河北省 石家庄市 藁城区
130730201912216493,2019/12/21,男,4,河北省 张家口市 怀来县
131124201501207411,2015/1/20,男,9,河北省 衡水市 饶阳县
130638200410058238,2004/10/5,男,20,河北省 保定市 雄县
110109195201213557,1952/1/21,男,72,北京市 北京市辖区 门头沟区
110115201111255652,2011/11/25,男,13,北京市 北京市辖区 大兴区
110115200902233738,2009/2/23,男,15,北京市 北京市辖区 大兴区
110105201804084136,2018/4/8,男,6,北京市 北京市辖区 朝阳区
110114202001209813,2020/1/20,男,4,北京市 北京市辖区 昌平区
110109198202047355,1982/2/4,男,42,北京市 北京市辖区 门头沟区
110105198911222579,1989/11/22,男,35,北京市 北京市辖区 朝阳区
110115194509051219,1945/9/5,男,79,北京市 北京市辖区 大兴区
11010919531110823X,1953/11/10,男,71,北京市 北京市辖区 门头沟区
110112197007260533,1970/7/26,男,54,北京市 北京市辖区 通州区
110101199203218535,1992/3/21,男,32,北京市 北京市辖区 东城区
110111200703037659,2007/3/3,男,17,北京市 北京市辖区 房山区
110113196903210616,1969/3/21,男,55,北京市 北京市辖区 顺义区
110116200608233557,2006/8/23,男,18,北京市 北京市辖区 怀柔区
110105199206280399,1992/6/28,男,32,北京市 北京市辖区 朝阳区
110117201709293533,2017/9/29,男,7,北京市 北京市辖区 平谷区
110112194607054510,1946/7/5,男,78,北京市 北京市辖区 通州区
110105200012024392,2000/12/2,男,24,北京市 北京市辖区 朝阳区
110114197507291136,1975/7/29,男,49,北京市 北京市辖区 昌平区
110106196911099539,1969/11/9,男,55,北京市 北京市辖区 丰台区
110113195309273513,1953/9/27,男,71,北京市 北京市辖区 顺义区
110113201309043476,2013/9/4,男,11,北京市 北京市辖区 顺义区
110108200406217217,2004/6/21,男,20,北京市 北京市辖区 海淀区
11011319930131987X,1993/1/31,男,31,北京市 北京市辖区 顺义区
110108196004258930,1960/4/25,男,64,北京市 北京市辖区 海淀区
11010520141124643X,2014/11/24,男,10,北京市 北京市辖区 朝阳区
110111200806148132,2008/6/14,男,16,北京市 北京市辖区 房山区
110117197906299898,1979/6/29,男,45,北京市 北京市辖区 平谷区
110119195201214632,1952/1/21,男,72,北京市 北京市辖区 延庆区
110113197310141912,1973/10/14,男,51,北京市 北京市辖区 顺义区
110117195812034179,1958/12/3,男,66,北京市 北京市辖区 平谷区
110102202110150819,2021/10/15,男,3,北京市 北京市辖区 西城区
110105195402063852,1954/2/6,男,70,北京市 北京市辖区 朝阳区
110107200505116335,2005/5/11,男,19,北京市 北京市辖区 石景山区
110117195601317670,1956/1/31,男,68,北京市 北京市辖区 平谷区
110105202404226419,2024/4/22,男,0,北京市 北京市辖区 朝阳区
110119198702205156,1987/2/20,男,37,北京市 北京市辖区 延庆区
110113198606108059,1986/6/10,男,38,北京市 北京市辖区 顺义区
110114199605262194,1996/5/26,男,28,北京市 北京市辖区 昌平区
110115200608096496,2006/8/9,男,18,北京市 北京市辖区 大兴区
110116198904038772,1989/4/3,男,35,北京市 北京市辖区 怀柔区
110105202011086339,2020/11/8,男,4,北京市 北京市辖区 朝阳区
110114201109224754,2011/9/22,男,13,北京市 北京市辖区 昌平区
110116198005222234,1980/5/22,男,44,北京市 北京市辖区 怀柔区
11011319910220499X,1991/2/20,男,33,北京市 北京市辖区 顺义区
110119198008125551,1980/8/12,男,44,北京市 北京市辖区 延庆区
110109197605311910,1976/5/31,男,48,北京市 北京市辖区 门头沟区
110105196901170155,1969/1/17,男,55,北京市 北京市辖区 朝阳区
110117201207151279,2012/7/15,男,12,北京市 北京市辖区 平谷区
110112201405232035,2014/5/23,男,10,北京市 北京市辖区 通州区
110109197006271451,1970/6/27,男,54,北京市 北京市辖区 门头沟区
110113199902276895,1999/2/27,男,25,北京市 北京市辖区 顺义区
110113195911156950,1959/11/15,男,65,北京市 北京市辖区 顺义区
110114201012124933,2010/12/12,男,14,北京市 北京市辖区 昌平区
110102199011188139,1990/11/18,男,34,北京市 北京市辖区 西城区
110105198408243292,1984/8/24,男,40,北京市 北京市辖区 朝阳区
110114196110064678,1961/10/6,男,63,北京市 北京市辖区 昌平区
110114197508169239,1975/8/16,男,49,北京市 北京市辖区 昌平区
11011420210208161X,2021/2/8,男,3,北京市 北京市辖区 昌平区
110117200903266155,2009/3/26,男,15,北京市 北京市辖区 平谷区
110101200404232953,2004/4/23,男,20,北京市 北京市辖区 东城区
110102194609190695,1946/9/19,男,78,北京市 北京市辖区 西城区
110105200105300456,2001/5/30,男,23,北京市 北京市辖区 朝阳区
110114199602161355,1996/2/16,男,28,北京市 北京市辖区 昌平区
110117196205048573,1962/5/4,男,62,北京市 北京市辖区 平谷区
110101195807019571,1958/7/1,男,66,北京市 北京市辖区 东城区
11011119500628161X,1950/6/28,男,74,北京市 北京市辖区 房山区
110108199503144050,1995/3/14,男,29,北京市 北京市辖区 海淀区
110119197010212094,1970/10/21,男,54,北京市 北京市辖区 延庆区
110109195102082539,1951/2/8,男,73,北京市 北京市辖区 门头沟区
110117197207177613,1972/7/17,男,52,北京市 北京市辖区 平谷区
110105199005292051,1990/5/29,男,34,北京市 北京市辖区 朝阳区
110114195411095131,1954/11/9,男,70,北京市 北京市辖区 昌平区
110115196101235734,1961/1/23,男,63,北京市 北京市辖区 大兴区
110111196412077037,1964/12/7,男,60,北京市 北京市辖区 房山区
110112199805126733,1998/5/12,男,26,北京市 北京市辖区 通州区
110109200503309590,2005/3/30,男,19,北京市 北京市辖区 门头沟区
110111199102178733,1991/2/17,男,33,北京市 北京市辖区 房山区
110102197903161856,1979/3/16,男,45,北京市 北京市辖区 西城区
110115199607244973,1996/7/24,男,28,北京市 北京市辖区 大兴区
110105200908242974,2009/8/24,男,15,北京市 北京市辖区 朝阳区
110102196008111356,1960/8/11,男,64,北京市 北京市辖区 西城区
110113199402289358,1994/2/28,男,30,北京市 北京市辖区 顺义区
110111196207253652,1962/7/25,男,62,北京市 北京市辖区 房山区
110116201011248750,2010/11/24,男,14,北京市 北京市辖区 怀柔区
110114196601188173,1966/1/18,男,58,北京市 北京市辖区 昌平区
110112195007199577,1950/7/19,男,74,北京市 北京市辖区 通州区
110102199805162678,1998/5/16,男,26,北京市 北京市辖区 西城区
110119197302196399,1973/2/19,男,51,北京市 北京市辖区 延庆区
11011819601123717X,1960/11/23,男,64,北京市 北京市辖区 密云区
110108200212012192,2002/12/1,男,22,北京市 北京市辖区 海淀区
110118200704107537,2007/4/10,男,17,北京市 北京市辖区 密云区
110106197306111039,1973/6/11,男,51,北京市 北京市辖区 丰台区
110111194912292738,1949/12/29,男,74,北京市 北京市辖区 房山区
110108195009052654,1950/9/5,男,74,北京市 北京市辖区 海淀区
110107197707189079,1977/7/18,男,47,北京市 北京市辖区 石景山区
110105197812257157,1978/12/25,男,45,北京市 北京市辖区 朝阳区
11011820071012347X,2007/10/12,男,17,北京市 北京市辖区 密云区
110107201009261271,2010/9/26,男,14,北京市 北京市辖区 石景山区
110114194810199072,1948/10/19,男,76,北京市 北京市辖区 昌平区
140123199712265157,1997/12/26,男,26,山西省 太原市 娄烦县
141028195301146750,1953/1/14,男,71,山西省 临汾市 吉县
141002196209269599,1962/9/26,男,62,山西省 临汾市 尧都区
140427202409170290,2024/9/17,男,0,山西省 长治市 壶关县
141125199004144331,1990/4/14,男,34,山西省 吕梁市 柳林县
140110200701163319,2007/1/16,男,17,山西省 太原市 晋源区
140926199209245418,1992/9/24,男,32,山西省 忻州市 静乐县
140824198404044256,1984/4/4,男,40,山西省 运城市 稷山县
140121197001177212,1970/1/17,男,54,山西省 太原市 清徐县
140427200903292454,2009/3/29,男,15,山西省 长治市 壶关县
140828202206187074,2022/6/18,男,2,山西省 运城市 夏县
141028202201305737,2022/1/30,男,2,山西省 临汾市 吉县
140226196510030617,1965/10/3,男,59,山西省 大同市 左云县
141126202309215330,2023/9/21,男,1,山西省 吕梁市 石楼县
140406202202209117,2022/2/20,男,2,山西省 长治市 潞城区
140928198904042952,1989/4/4,男,35,山西省 忻州市 五寨县
140722201409052294,2014/9/5,男,10,山西省 晋中市 左权县
141081196112078855,1961/12/7,男,63,山西省 临汾市 侯马市
141128195604230533,1956/4/23,男,68,山西省 吕梁市 方山县
140828200711294613,2007/11/29,男,17,山西省 运城市 夏县
14082319700620425X,1970/6/20,男,54,山西省 运城市 闻喜县
140722196105049295,1961/5/4,男,63,山西省 晋中市 左权县
141031201806160175,2018/6/16,男,6,山西省 临汾市 隰县
140728196510113893,1965/10/11,男,59,山西省 晋中市 平遥县
140723201311173174,2013/11/17,男,11,山西省 晋中市 和顺县
141123196802070350,1968/2/7,男,56,山西省 吕梁市 兴县
140924195705271411,1957/5/27,男,67,山西省 忻州市 繁峙县
140921198703286470,1987/3/28,男,37,山西省 忻州市 定襄县
14102620070925633X,2007/9/25,男,17,山西省 临汾市 安泽县
14042319701006485X,1970/10/6,男,54,山西省 长治市 襄垣县
140928197009109490,1970/9/10,男,54,山西省 忻州市 五寨县
141034201908041651,2019/8/4,男,5,山西省 临汾市 汾西县
140902198001148832,1980/1/14,男,44,山西省 忻州市 忻府区
140212199209255230,1992/9/25,男,32,山西省 大同市 新荣区
140502196302211558,1963/2/21,男,61,山西省 晋城市 城区
140524194807043552,1948/7/4,男,76,山西省 晋城市 陵川县
140922200305030898,2003/5/3,男,21,山西省 忻州市 五台县
140602194908160771,1949/8/16,男,75,山西省 朔州市 朔城区
140522195703294914,1957/3/29,男,67,山西省 晋城市 阳城县
14112519500216447X,1950/2/16,男,74,山西省 吕梁市 柳林县
141021199804241817,1998/4/24,男,26,山西省 临汾市 曲沃县
141025198705091834,1987/5/9,男,37,山西省 临汾市 古县
141023197901237450,1979/1/23,男,45,山西省 临汾市 襄汾县
140930198904112799,1989/4/11,男,35,山西省 忻州市 河曲县
141033197807254695,1978/7/25,男,46,山西省 临汾市 蒲县
140622199509178657,1995/9/17,男,29,山西省 朔州市 应县
140121196706302250,1967/6/30,男,57,山西省 太原市 清徐县
140322202306109019,2023/6/10,男,1,山西省 阳泉市 盂县
140524195605260238,1956/5/26,男,68,山西省 晋城市 陵川县
140425199112319632,1991/12/31,男,32,山西省 长治市 平顺县
140926199503258834,1995/3/25,男,29,山西省 忻州市 静乐县
140108200801202950,2008/1/20,男,16,山西省 太原市 尖草坪区
140932196211152513,1962/11/15,男,62,山西省 忻州市 偏关县
140981195612127012,1956/12/12,男,68,山西省 忻州市 原平市
141027194709309954,1947/9/30,男,77,山西省 临汾市 浮山县
140929198106099256,1981/6/9,男,43,山西省 忻州市 岢岚县
140981200304060251,2003/4/6,男,21,山西省 忻州市 原平市
141026197504023853,1975/4/2,男,49,山西省 临汾市 安泽县
140212198206031333,1982/6/3,男,42,山西省 大同市 新荣区
140829196902069133,1969/2/6,男,55,山西省 运城市 平陆县
140406198611170218,1986/11/17,男,38,山西省 长治市 潞城区
141129195701128895,1957/1/12,男,67,山西省 吕梁市 中阳县
140981195503277759,1955/3/27,男,69,山西省 忻州市 原平市
140222199410231911,1994/10/23,男,30,山西省 大同市 天镇县
140602201907041298,2019/7/4,男,5,山西省 朔州市 朔城区
140928195112154178,1951/12/15,男,73,山西省 忻州市 五寨县
141031198709210594,1987/9/21,男,37,山西省 临汾市 隰县
140107202006152053,2020/6/15,男,4,山西省 太原市 杏花岭区
140223195102170537,1951/2/17,男,73,山西省 大同市 广灵县
140423201205054255,2012/5/5,男,12,山西省 长治市 襄垣县
140924194705022277,1947/5/2,男,77,山西省 忻州市 繁峙县
140221194611073092,1946/11/7,男,78,山西省 大同市 阳高县
141081199705153156,1997/5/15,男,27,山西省 临汾市 侯马市
14010719861025257X,1986/10/25,男,38,山西省 太原市 杏花岭区
140221196305203572,1963/5/20,男,61,山西省 大同市 阳高县
140221196604034959,1966/4/3,男,58,山西省 大同市 阳高县
14082520140718241X,2014/7/18,男,10,山西省 运城市 新绛县
141024195904180231,1959/4/18,男,65,山西省 临汾市 洪洞县
14082920150325305X,2015/3/25,男,9,山西省 运城市 平陆县
140302197602043270,1976/2/4,男,48,山西省 阳泉市 城区
140981196404168359,1964/4/16,男,60,山西省 忻州市 原平市
141034202407135435,2024/7/13,男,0,山西省 临汾市 汾西县
141030201801044451,2018/1/4,男,6,山西省 临汾市 大宁县
141102197203104152,1972/3/10,男,52,山西省 吕梁市 离石区
140931199602149773,1996/2/14,男,28,山西省 忻州市 保德县
140303196509049039,1965/9/4,男,59,山西省 阳泉市 矿区
141182200708048471,2007/8/4,男,17,山西省 吕梁市 汾阳市
140721201101143951,2011/1/14,男,13,山西省 晋中市 榆社县
140823199105021896,1991/5/2,男,33,山西省 运城市 闻喜县
140603194603101072,1946/3/10,男,78,山西省 朔州市 平鲁区
140428201706114414,2017/6/11,男,7,山西省 长治市 长子县
140923201603019110,2016/3/1,男,8,山西省 忻州市 代县
140425196009114213,1960/9/11,男,64,山西省 长治市 平顺县
141030197408222558,1974/8/22,男,50,山西省 临汾市 大宁县
14012219710818809X,1971/8/18,男,53,山西省 太原市 阳曲县
140981194501160579,1945/1/16,男,79,山西省 忻州市 原平市
141032199112011470,1991/12/1,男,33,山西省 临汾市 永和县
140781200405261350,2004/5/26,男,20,山西省 晋中市 介休市
140924196007051491,1960/7/5,男,64,山西省 忻州市 繁峙县
141029196904204690,1969/4/20,男,55,山西省 临汾市 乡宁县
150105201012257112,2010/12/25,男,13,内蒙古自治区 呼和浩特市 赛罕区
152224200211181212,2002/11/18,男,22,内蒙古自治区 兴安盟 突泉县
150103201603078519,2016/3/7,男,8,内蒙古自治区 呼和浩特市 回民区
150524195702087053,1957/2/8,男,67,内蒙古自治区 通辽市 库伦旗
150981196212103130,1962/12/10,男,62,内蒙古自治区 乌兰察布市 丰镇市
150221200404305970,2004/4/30,男,20,内蒙古自治区 包头市 土默特右旗
15010519720423985X,1972/4/23,男,52,内蒙古自治区 呼和浩特市 赛罕区
150302197702264195,1977/2/26,男,47,内蒙古自治区 乌海市 海勃湾区
152524201004039994,2010/4/3,男,14,内蒙古自治区 锡林郭勒盟 苏尼特右旗
150924194905262971,1949/5/26,男,75,内蒙古自治区 乌兰察布市 兴和县
150927197311139258,1973/11/13,男,51,内蒙古自治区 乌兰察布市 察哈尔右翼中旗
150124197903252497,1979/3/25,男,45,内蒙古自治区 呼和浩特市 清水河县
150121199712040053,1997/12/4,男,27,内蒙古自治区 呼和浩特市 土默特左旗
152524194805131798,1948/5/13,男,76,内蒙古自治区 锡林郭勒盟 苏尼特右旗
150621197311032675,1973/11/3,男,51,内蒙古自治区 鄂尔多斯市 达拉特旗
150203198012237857,1980/12/23,男,43,内蒙古自治区 包头市 昆都仑区
152528195612031336,1956/12/3,男,68,内蒙古自治区 锡林郭勒盟 镶黄旗
150782200209151515,2002/9/15,男,22,内蒙古自治区 呼伦贝尔市 牙克石市
150523199910020998,1999/10/2,男,25,内蒙古自治区 通辽市 开鲁县
150524197603312197,1976/3/31,男,48,内蒙古自治区 通辽市 库伦旗
152202200905222797,2009/5/22,男,15,内蒙古自治区 兴安盟 阿尔山市
15222220081129893X,2008/11/29,男,16,内蒙古自治区 兴安盟 科尔沁右翼中旗
15220119821028483X,1982/10/28,男,42,内蒙古自治区 兴安盟 乌兰浩特市
150785195011245394,1950/11/24,男,74,内蒙古自治区 呼伦贝尔市 根河市
152525202411024256,2024/11/2,男,0,内蒙古自治区 锡林郭勒盟 东乌珠穆沁旗
152223201609211010,2016/9/21,男,8,内蒙古自治区 兴安盟 扎赉特旗
150102199603152292,1996/3/15,男,28,内蒙古自治区 呼和浩特市 新城区
150825199508026653,1995/8/2,男,29,内蒙古自治区 巴彦淖尔市 乌拉特后旗
150202202407062433,2024/7/6,男,0,内蒙古自治区 包头市 东河区
150206195504166974,1955/4/16,男,69,内蒙古自治区 包头市 白云鄂博矿区
150702195001309832,1950/1/30,男,74,内蒙古自治区 呼伦贝尔市 海拉尔区
150424195602156597,1956/2/15,男,68,内蒙古自治区 赤峰市 林西县
15052419960402759X,1996/4/2,男,28,内蒙古自治区 通辽市 库伦旗
150785197601080699,1976/1/8,男,48,内蒙古自治区 呼伦贝尔市 根河市
150404197902188252,1979/2/18,男,45,内蒙古自治区 赤峰市 松山区
150221194802173696,1948/2/17,男,76,内蒙古自治区 包头市 土默特右旗
150207194607183330,1946/7/18,男,78,内蒙古自治区 包头市 九原区
15042419851123379X,1985/11/23,男,39,内蒙古自治区 赤峰市 林西县
150221198203049130,1982/3/4,男,42,内蒙古自治区 包头市 土默特右旗
150724201910089992,2019/10/8,男,5,内蒙古自治区 呼伦贝尔市 鄂温克族自治旗
150824195207319095,1952/7/31,男,72,内蒙古自治区 巴彦淖尔市 乌拉特中旗
150103198303151011,1983/3/15,男,41,内蒙古自治区 呼和浩特市 回民区
15052419650711847X,1965/7/11,男,59,内蒙古自治区 通辽市 库伦旗
150928200210070619,2002/10/7,男,22,内蒙古自治区 乌兰察布市 察哈尔右翼后旗
152502201905061576,2019/5/6,男,5,内蒙古自治区 锡林郭勒盟 锡林浩特市
152528200810151754,2008/10/15,男,16,内蒙古自治区 锡林郭勒盟 镶黄旗
150404198302277918,1983/2/27,男,41,内蒙古自治区 赤峰市 松山区
152222196602187353,1966/2/18,男,58,内蒙古自治区 兴安盟 科尔沁右翼中旗
150928195604202932,1956/4/20,男,68,内蒙古自治区 乌兰察布市 察哈尔右翼后旗
150202198509267174,1985/9/26,男,39,内蒙古自治区 包头市 东河区
150303197304299217,1973/4/29,男,51,内蒙古自治区 乌海市 海南区
150523199004130511,1990/4/13,男,34,内蒙古自治区 通辽市 开鲁县
150421200407217459,2004/7/21,男,20,内蒙古自治区 赤峰市 阿鲁科尔沁旗
150303200207061674,2002/7/6,男,22,内蒙古自治区 乌海市 海南区
15092819840511161X,1984/5/11,男,40,内蒙古自治区 乌兰察布市 察哈尔右翼后旗
150581199001137113,1990/1/13,男,34,内蒙古自治区 通辽市 霍林郭勒市
150522200411277130,2004/11/27,男,20,内蒙古自治区 通辽市 科尔沁左翼后旗
150825198205258831,1982/5/25,男,42,内蒙古自治区 巴彦淖尔市 乌拉特后旗
150625197910031530,1979/10/3,男,45,内蒙古自治区 鄂尔多斯市 杭锦旗
150923200012041954,2000/12/4,男,24,内蒙古自治区 乌兰察布市 商都县
15082419470506449X,1947/5/6,男,77,内蒙古自治区 巴彦淖尔市 乌拉特中旗
15012120110830565X,2011/8/30,男,13,内蒙古自治区 呼和浩特市 土默特左旗
150524197306214195,1973/6/21,男,51,内蒙古自治区 通辽市 库伦旗
150222195903236677,1959/3/23,男,65,内蒙古自治区 包头市 固阳县
150125198306033078,1983/6/3,男,41,内蒙古自治区 呼和浩特市 武川县
150921196501124791,1965/1/12,男,59,内蒙古自治区 乌兰察布市 卓资县
150723198608194619,1986/8/19,男,38,内蒙古自治区 呼伦贝尔市 鄂伦春自治旗
152224199707273078,1997/7/27,男,27,内蒙古自治区 兴安盟 突泉县
152501198207309078,1982/7/30,男,42,内蒙古自治区 锡林郭勒盟 二连浩特市
150826197106134050,1971/6/13,男,53,内蒙古自治区 巴彦淖尔市 杭锦后旗
150626201205216519,2012/5/21,男,12,内蒙古自治区 鄂尔多斯市 乌审旗
150624197604233373,1976/4/23,男,48,内蒙古自治区 鄂尔多斯市 鄂托克旗
150123197609035815,1976/9/3,男,48,内蒙古自治区 呼和浩特市 和林格尔县
150302197904118938,1979/4/11,男,45,内蒙古自治区 乌海市 海勃湾区
152223199802212250,1998/2/21,男,26,内蒙古自治区 兴安盟 扎赉特旗
150726202203305614,2022/3/30,男,2,内蒙古自治区 呼伦贝尔市 新巴尔虎左旗
150526201108238112,2011/8/23,男,13,内蒙古自治区 通辽市 扎鲁特旗
152523194807261194,1948/7/26,男,76,内蒙古自治区 锡林郭勒盟 苏尼特左旗
150921195210034759,1952/10/3,男,72,内蒙古自治区 乌兰察布市 卓资县
150423199009042873,1990/9/4,男,34,内蒙古自治区 赤峰市 巴林右旗
152526201506247016,2015/6/24,男,9,内蒙古自治区 锡林郭勒盟 西乌珠穆沁旗
152525201712018373,2017/12/1,男,7,内蒙古自治区 锡林郭勒盟 东乌珠穆沁旗
150626201105311332,2011/5/31,男,13,内蒙古自治区 鄂尔多斯市 乌审旗
150923197311275115,1973/11/27,男,51,内蒙古自治区 乌兰察布市 商都县
152502197701254916,1977/1/25,男,47,内蒙古自治区 锡林郭勒盟 锡林浩特市
150727199406090272,1994/6/9,男,30,内蒙古自治区 呼伦贝尔市 新巴尔虎右旗
150703195201245294,1952/1/24,男,72,内蒙古自治区 呼伦贝尔市 扎赉诺尔区
150723199609150030,1996/9/15,男,28,内蒙古自治区 呼伦贝尔市 鄂伦春自治旗
15030419900512317X,1990/5/12,男,34,内蒙古自治区 乌海市 乌达区
15052119610315255X,1961/3/15,男,63,内蒙古自治区 通辽市 科尔沁左翼中旗
152528194912117372,1949/12/11,男,75,内蒙古自治区 锡林郭勒盟 镶黄旗
150724200601101973,2006/1/10,男,18,内蒙古自治区 呼伦贝尔市 鄂温克族自治旗
152527202208126575,2022/8/12,男,2,内蒙古自治区 锡林郭勒盟 太仆寺旗
150782196602026033,1966/2/2,男,58,内蒙古自治区 呼伦贝尔市 牙克石市
152531196204121634,1962/4/12,男,62,内蒙古自治区 锡林郭勒盟 多伦县
150625196506133151,1965/6/13,男,59,内蒙古自治区 鄂尔多斯市 杭锦旗
150525199909282416,1999/9/28,男,25,内蒙古自治区 通辽市 奈曼旗
150121200206309115,2002/6/30,男,22,内蒙古自治区 呼和浩特市 土默特左旗
